Nxe5,Qd5, Nf3,Bg4, O-O,Bd6, Nc3,Bxf3, Nxd5,Bxd1, Nxf6+,gxf6, Rxd1,{White forfeits by disconnection} 0-1
axb5,cxb5, Nxb5,Nf6, Bxc4,O-O, d4,Be7, Nc3,Nd5, Bxd5,exd5, Qb3,{White forfeits by disconnection} 0-1
Be2,Bb4, O-O,Nf6, c3,Bc5, Qa4+,b5, Bxb5+,c6, Bxc6+,Nxc6, Qxc6+,Nd7  {White forfeits by disconnection} 0-1
e3,Bb4, Bb5+,Bd7, Qb3,Bxc3+, bxc3,O-O, Ba3,Re8, Bxd7,Qxd7, Ne5,{White forfeits by disconnection} 0-1
d4,Nc6, d5,Ne7, Bg2,g6, Ne2,Bg7, d6,cxd6, Qxd6,O-O, Nbc3,{White forfeits by disconnection} 0-1
Bb5,Bd7, O-O,O-O, a4,Nc4, Bxc4,dxc4, b3,cxb3, Qxb3,b6, Rb1,{White forfeits by disconnection} 0-1
Qc2,Nc6, e3,Bd6, Bd3,O-O, O-O,Rc8, Qb3,b6, Ba6,Rc7, Nb5,{White forfeits by disconnection} 0-1
Nxf6+,Qxf6, Nf3,O-O, O-O,Bh3, Re1,dxc4, Qd2,Rad8, Qg5,Qe6, Qc5,{White forfeits by disconnection} 0-1
O-O,e6, Bxg6,hxg6, Qd3,Bd6, c5,Bc7, Qb3,Qc8, Qd3,Ng4, h3,{White forfeits by disconnection} 0-1
Bb3,e6, Bg5,Ne7, a4,b4, Na2,a5, Bxe7,Qxe7, c3,bxc3, Nxc3,{White forfeits by disconnection} 0-1
Nf3,Nf6, g3,Nc6, Bg2,g6, d4,Bg7, d5,Nb4, Nc3,O-O, a3,{White forfeits by disconnection} 0-1
Nf3,Nxc3, dxc3,Nd7, e4,Nc5, Qc2,Qf6, Be2,Bg4, Bg5,Qg6, Nxe5,{White forfeits by disconnection} 0-1
Bb5+,Nbd7, Bxd7+,Bxd7, O-O,O-O, Qd3,Bc6, d5,exd5, exd5,Bd7, Re1,{White forfeits by disconnection} 0-1
Bd3,e6, Nf3,c5, O-O,Nc6, Bb5,Bd7, Bxc6,Bxc6, dxc5,Bxc5, Nd4,{White forfeits by disconnection} 0-1
Bxg6,fxg6, d4,cxd4, exd4,O-O, d5,Na7, Rd1,exd5, Nxd5,Bf6, c5,{White forfeits by disconnection} 0-1
O-O,Nc6, dxc5,d6, cxd6,exd6, Nc3,Bg4, e4,Bxf3, Bxf3,Ne5, Be2,{White forfeits by disconnection} 0-1
Nc3,Qd8, Bb5+,Bd7, O-O,a6, Bxd7+,Nxd7, g4,e5, Re1,Ne7, dxe5,{White forfeits by disconnection} 0-1
Bxc4,e6, O-O,Nc6, Bb5,a6, Bxc6+,bxc6, h3,Bf5, g4,Be4, Ng5,Bg6  {White forfeits by disconnection} 0-1
O-O,a6, Nxf6+,Qxf6, Bxc6,Bxc6, Ne5,Bd5, c4,Be4, Re1,Bg6, Qa4+,{White forfeits by disconnection} 0-1
Bxd7+,Qxd7, Ne5,Qd6, Re1,O-O, Nb5,Qd8, c4,c6, Nc3,Nbd7, Qd3,{White forfeits by disconnection} 0-1
Nxe5,dxe5, O-O,e6, dxe6,Bxe6, Bxb7,Rb8, Bd5,Nxd5, cxd5,Bg4, Qa4,{White forfeits by disconnection} 0-1
Qb3,O-O, Qxb7,Qd7, cxd5,Nxd5, Qb5,Rab8, Qa6,Rb6, Qc4,f5, d4,{White forfeits by disconnection} 0-1
Qb3,Qb6, g4,Bg6, Qxb6,axb6, g5,Ne4, Nxe4,Bxe4, a4,O-O, b3,{White forfeits by disconnection} 0-1
O-O,Bb7, Qc2,c5, Bf4,Rc8, Nc3,cxd4, Nxd4,Bc5, Nb3,Ba7, Qe2,{White forfeits by disconnection} 0-1
e5,Bf8, Bd3,b6, Be4,Bb7, Bxb7,Qxb7, O-O,Qc7, d5,d6, dxe6,{White forfeits by disconnection} 0-1
Nxg4,Qxg4, Qxc5,Nh5, Bb2,Nxg3, hxg3,Qxg3, Re3,Qf4, Rf1,Qh6, Bxe5,{White forfeits by disconnection} 0-1
