Kxc5,Ke4, Kd6,Kd3, c5,Kc2, c6,Kxb2, c7,Kc3, c8=Q+,Kd4, Qc5+,{Black resigns} 1-0
Bb6,Ba6, Nd4,Bd3, Bxa5,Be4, Bxb4,h6, a4,g5, Bc5,h5, b4,{Black resigns} 1-0
Ke2,Kf6, Ke3,h4, Kxe4,hxg3, fxg3,Ke7, Kxe5,Kf7, b6,Ke8, b7,{Black resigns} 1-0
Kg6,a6, f7,Ke7, Kg7,Ke6, f8=Q,Ke5, Qf6+,Ke4, Qg6+,Kf4, Qxh5,{Black resigns} 1-0
Bxc6,bxc6, Re2,Qxd3, Rd2,Qd6, Rxd6,Bxd6, Qf3,O-O, Nc3,Be5, Bxc5,{Black resigns} 1-0
a5,f4+, Kg2,f3+, Kg3,Kh6, Rg8,f2, Kxf2,bxa5, bxa5,Kh5, a6,{Black resigns} 1-0
Kd3,b4, Ke4,Be7, f4,Bd6, f5,exf5+, Kxf5,Kd4, Bxf7,Kc3, Bb3,{Black resigns} 1-0
Qd5,Re8, Re1,Qxb2, Qxf7,Rg8, Qxe7,Rxg2+, Kxg2,Qxf2+, Kxf2,a5, Qe8#,{Black checkmated} 1-0
Rd2,a5, Rhd1,Kg8, Qxc8+,Qf8, Rd8,h6, Rxf8+,Kh7, Rxh8+,Kg6, Qf5+,{Black resigns} 1-0
dxe5,Rad8, Qe1,Nxb4, axb4,Bxf2+, Kxf2,Bxh3, gxh3,Ng4+, hxg4,Qe6, Bf5,{Black resigns} 1-0
f4,Ba4, Qe2,d5, exd5,Bd7, Qxh5,exd5, Qh6,Bf6, gxf6+,Kh8, Qg7#,{Black checkmated} 1-0
Kd6,Kc8, Ke7,Kc7, Kxf7,Kd7, Kxf6,Kd6, g5,Kd7, g6,Ke8, g7,{Black resigns} 1-0
Qxh7+,Kf8, Qxg6,Rxd3, Rdf1+,Rf3, Rxf3+,Ke7, Rh7+,Qg7, Qxg7+,Kd8, Rh8+,{Black resigns} 1-0
Qg5,Rf7, h6,Bxd5, Bxd5,Qxd5, Rg3,a5, Rhg1,Qd4, Qg8+,Rxg8, Rxg8#,{Black checkmated} 1-0
Kd3,Rd8, Ref1,Rd7, Nb6,d5, Nxc4,dxc4+, Kc2,Kf8, Rf6,a3, bxa3,{Black resigns} 1-0
Rxc1,Rxc1+, Kh2,a4, Qd7,Re1, Qxb5,Rxe4, Qc6,Rf4, Kg3,Rb4, Qxd6,{Black resigns} 1-0
Rg5+,Kf8, Rg7,Rd7, Qg5,Qg6, Rxg6,hxg6, Bf3,Rd8, Ra1,Kg7, Ra7,{Black resigns} 1-0
Rxf1,Bxc5+, bxc5,Qf5, Ne5,Rd2, Qxd2,Qf6, Rxf6,gxf6, Ng4,Kh8, Qd8+,{Black resigns} 1-0
fxe5,Bxe5, Qh6,f5, Rde1,Re8, Rxe5,Rg8, Rxg8+,Qxg8, Qf6+,Qg7, Qxg7+,{Black resigns} 1-0
Bf2,fxe4, Nxe4,Qg6, Bh5,Bf5, Bxg6+,Bxg6, Qe2,d5, Nec5,O-O-O, O-O-O,{Black resigns} 1-0
Kg3,b4, Rd3,Bd7, Qe7,Be8, Rd8,Kg7, Rxe8,h6, Qf6+,Kh7, Rh8#,{Black checkmated} 1-0
Qe6,Qc6, Rf5,Qc8, Rxe5,Qxe6, Rxe6,g6, Nf6,Be7, e5,h5, exd6,{Black resigns} 1-0
Kf4,e3, Kxe3,a5, Bc3,Kd6, Bd4,Kc6, Kf4,Kb7, Kg3,Kc6, Kxh3,{Black resigns} 1-0
Rxf2,c5, Nxe6,Kg8, Rf1,Qxb3, Qxb3,Rc8, Qf3,c4, Qf7+,Kh8, Qg7#,{Black checkmated} 1-0
a3,Qxa6, Qxa6+,Kxa6, Rd6+,Kb5, Rhd1,e4, R1d5+,Kc4, b3+,Kc3, Rc6#,{Black checkmated} 1-0
Bxd7,Nxd7, Rfe1,Re5, Rxe5,Nf8, Re8,a4, Ra1,f6, Rxa4,Kf7, Rxf8+,{Black resigns} 1-0
Nxf6+,gxf6, Bh6,Re8, Nh4,d5, Qf3,Be6, Qg3+,Bg4, Qxg4+,Kh8, Qg7#,{Black checkmated} 1-0
Rxd7,Kh8, Rad1,Rxc2, Rd8,Kg8, Rxf8+,Kxf8, Qxg7+,Ke7, Re1+,Re2, Rxe2+,{Black resigns} 1-0
